"time, s","mass, g"
0,21.22
5,31.77
10,41.97
15,52.15
20,62.59
25,73.04
30,83.5
35,93.73
40,104.2
45,114.6
50,125
55,135.3
60,145.7
65,155.9
70,166.6
75,176.9
80,187.4
85,197.5
90,208.2
95,218.5
100,224.6
