"time, s","mass, g"
0,14.2
5,23.14
10,32.2
15,41.14
20,49.97
25,59
30,67.98
35,76.79
40,85.81
45,94.8
50,103.6
55,112.3
60,121.3
65,130.3
70,139.1
75,148.1
80,157.1
85,165.9
90,175
95,183.9
100,193
105,201.7
110,210.8
115,219.8
120,228.6
