"time, s","mass, g"
0,13.94
5,22.21
10,29.89
15,38.1
20,46.33
25,54.38
30,62.32
35,70.54
40,78.59
45,86.81
50,94.75
55,102.8
60,111
65,118.9
70,126.9
75,135.3
80,143.3
85,151.3
90,159.5
95,167.5
