"time, s","mass, g"
0,18.93
5,28.11
10,37.32
15,46.67
20,55.74
25,64.93
30,74.19
35,83.59
40,92.65
45,101.8
50,111
55,120.2
60,129.4
65,138.6
70,147.8
75,157
80,166.2
85,175.4
90,184.5
95,193.6
100,202.8
105,212
110,221.3
115,230.5
120,239.7
125,248.9
