"time, s","mass, g"
0,12.73
5,21.32
10,29.91
15,38.39
20,46.89
25,55.5
30,64.24
35,72.9
40,81.48
45,89.95
50,98.56
55,107.1
60,115.7
65,124.4
70,133.1
75,141.7
80,150.5
85,158.7
90,167.4
95,176.2
100,184.8
105,193.5
110,202.1
115,210.7
120,219.5
125,267.1
130,276.8
135,286.3
140,295.2
