"time, s","mass, g"
0,17.64
5,26.2
10,34.2
15,42.59
20,51
25,59.4
30,67.9
35,75.91
40,84.29
45,92.72
50,101.1
55,109.6
60,117.6
65,126
70,134.4
75,142.7
80,151
85,159.4
90,167.8
95,175.9
100,184.4
105,192.8
110,201.2
115,209.5
120,217.7
125,226.2
130,234.5
